year,week,url
2018,52,https://idsp.mohfw.gov.in/WriteReadData/l892s/522018.pdf
2019,1,https://idsp.mohfw.gov.in/WriteReadData/l892s/012019.pdf
2019,2,https://idsp.mohfw.gov.in/WriteReadData/l892s/022019.pdf
2019,3,https://idsp.mohfw.gov.in/WriteReadData/l892s/032019.pdf
2019,4,https://idsp.mohfw.gov.in/WriteReadData/l892s/042019.pdf
2019,5,https://idsp.mohfw.gov.in/WriteReadData/l892s/052019.pdf
2019,6,https://idsp.mohfw.gov.in/WriteReadData/l892s/062019.pdf
2019,7,https://idsp.mohfw.gov.in/WriteReadData/l892s/70114365031553578502.pdf
2019,8,https://idsp.mohfw.gov.in/WriteReadData/l892s/3490631051553578944.pdf
2019,9,https://idsp.mohfw.gov.in/WriteReadData/l892s/6589945201554276858.pdf
2019,10,https://idsp.mohfw.gov.in/WriteReadData/l892s/99151176221556005805.pdf
2019,11,https://idsp.mohfw.gov.in/WriteReadData/l892s/58135622001555071060.pdf
2019,12,https://idsp.mohfw.gov.in/WriteReadData/l892s/11468971641556005847.pdf
2019,13,https://idsp.mohfw.gov.in/WriteReadData/l892s/17603578201556280184.pdf
2019,14,https://idsp.mohfw.gov.in/WriteReadData/l892s/67310881641556708881.pdf
2019,15,https://idsp.mohfw.gov.in/WriteReadData/l892s/6590096481557832331.pdf
